,transit_timestamp,station_complex_id,borough,ridership,latitude,longitude,normalized_ridership,ridership_index
7513,04/14/2023 01:00:00 PM,359,Brooklyn,62,40.632835,-73.94764,0.5794392523364486,0.5794392523364486
7514,01/12/2024 01:00:00 PM,256,Queens,62,40.707565,-73.80333,0.09627329192546584,0.09627329192546584
7515,06/19/2023 08:00:00 PM,359,Brooklyn,4,40.632835,-73.94764,0.07142857142857142,0.07142857142857142
7516,03/14/2023 04:00:00 PM,359,Brooklyn,19,40.632835,-73.94764,0.25333333333333335,0.25333333333333335
7517,11/14/2023 08:00:00 PM,359,Brooklyn,6,40.632835,-73.94764,1.0,1.0
7518,10/30/2023 04:00:00 PM,359,Brooklyn,22,40.632835,-73.94764,0.2894736842105263,0.2894736842105263
7519,01/12/2024 02:00:00 PM,8,Manhattan,22,40.764812,-73.97335,0.05263157894736842,0.05263157894736842
7520,08/19/2023 03:00:00 AM,359,Brooklyn,4,40.632835,-73.94764,1.0,1.0
7521,04/03/2023 01:00:00 PM,359,Brooklyn,63,40.632835,-73.94764,1.0,1.0
7522,01/12/2024 03:00:00 PM,103,Manhattan,103,40.72028,-73.99391,0.23042505592841164,0.23042505592841164
7523,02/18/2023 04:00:00 AM,359,Brooklyn,5,40.632835,-73.94764,0.38461538461538464,0.38461538461538464
7524,01/12/2024 04:00:00 PM,301,Manhattan,150,40.849506,-73.93359,0.12067578439259855,0.12067578439259855
7525,02/02/2023 02:00:00 PM,359,Brooklyn,69,40.632835,-73.94764,0.38333333333333336,0.38333333333333336
7526,08/09/2023 09:00:00 AM,359,Brooklyn,48,40.632835,-73.94764,0.3076923076923077,0.3076923076923077
7527,01/12/2024 04:00:00 PM,630,Brooklyn,108,40.699814,-73.91158,0.08688656476267095,0.08688656476267095
7528,04/10/2023 08:00:00 AM,359,Brooklyn,77,40.632835,-73.94764,0.26013513513513514,0.26013513513513514
